ETPL_Inst_Code|ETPL_CIP_Code|ETPL_Credential|ETPL_CIP_USHE|ETPL_Program_USHE|ETPL_IPEDS|ETPL_Deg_Intent|ETPL_Year|ETPL_Key|Created_Date|Modified_Date|Inactive
3671|090101|BS|BS|Communication Studies - All emphases|5|5|2024|36712024090101BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|090102|CT|CERT|Social Media|1B|1B|2024|36712024090102CTCERT1B1B|2024-08-15 06:38:11.847|NULL|N
3671|090102|BS|BS|BS in Media Studies (all emphases)|5|5|2024|36712024090102BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|110101|BS|NULL|Information Technology|5|5|2024|36712024110101BS55|2024-08-15 06:38:11.847|NULL|N
3671|110701|BS|BS|Computer Science|5|5|2024|36712024110701BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|131202|BS|BS|Elementary Education, BS|5|5|2024|36712024131202BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|131210|AS|AA/AS|Early Childhood Education, AA/AS|3|3|2024|36712024131210ASAA/AS33|2024-08-15 06:38:11.847|NULL|N
3671|131210|AS|AAS|Early Childhood Education, AAS|3|3|2024|36712024131210ASAAS33|2024-08-15 06:38:11.847|NULL|N
3671|131311|BS|BS|Mathematics Education, BA/BS|5|5|2024|36712024131311BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|131312|BS|BS|Music Education with Secondary Education Licensure|5|5|2024|36712024131312BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|131317|BS|BS|History and Social Science Teaching Emphasis, BA/BS|5|5|2024|36712024131317BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|131322|BS|BS|Biology - Biology Education Emphasis|5|5|2024|36712024131322BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|131399|BS|BS|Physical Science Composite Teaching- Secondary Education Licensure|5|5|2024|36712024131399BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|160905|BS|BA|Spanish, BA|5|5|2024|36712024160905BSBA55|2024-08-15 06:38:11.847|NULL|N
3671|230101|CT|CERT|Professional Writing|1A|1A|2024|36712024230101CTCERT1A1A|2024-08-15 06:38:11.847|NULL|N
3671|230101|BS|BS|English (All Emphases)|5|5|2024|36712024230101BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|260210|BS|BS|Biochemistry and Molecular Biology|5|5|2024|36712024260210BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|261103|BS|NULL|Bioinformatics|5|5|2024|36712024261103BS55|2024-08-15 06:38:11.847|NULL|N
3671|261103|BS|BS|Bioinformatics|5|5|2024|36712024261103BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|270101|BS|BS|Mathematics [BA/BS]|5|5|2024|36712024270101BSBS55|2024-08-15 06:38:11.847|NULL|N
3671|304101|AS|AS|Earth and Environmental Sciences (AS)|3|3|2024|36712024304101ASAS33|2024-08-15 06:38:11.847|NULL|N
3671|304101|BS|BS|Earth, Energy and Environmental Science (all emphases)|5|5|2024|36712024304101BSBS55|2024-08-15 06:38:11.847|NULL|N
